Operacia;Cas;;Pocet prvkov
Vloz na zaklade kluca;700;ns;16
Odstran na zaklade kluca;600;ns;17
Odstran na zaklade kluca;500;ns;16
Vloz na zaklade kluca;700;ns;15
Odstran na zaklade kluca;700;ns;16
Odstran na zaklade kluca;1000;ns;15
Spristupni na zaklade kluca;300;ns;14
Spristupni na zaklade kluca;400;ns;14
Vloz na zaklade kluca;700;ns;14
Vloz na zaklade kluca;600;ns;15
Odstran na zaklade kluca;600;ns;16
Odstran na zaklade kluca;700;ns;15
Odstran na zaklade kluca;1000;ns;14
Spristupni na zaklade kluca;400;ns;13
Vloz na zaklade kluca;600;ns;13
Odstran na zaklade kluca;700;ns;14
Odstran na zaklade kluca;1000;ns;13
Odstran na zaklade kluca;1100;ns;12
Odstran na zaklade kluca;2100;ns;11
Odstran na zaklade kluca;4800;ns;10
Odstran na zaklade kluca;1900;ns;9
Odstran na zaklade kluca;1100;ns;8
Vloz na zaklade kluca;600;ns;7
Vloz na zaklade kluca;600;ns;8
Spristupni na zaklade kluca;500;ns;9
Odstran na zaklade kluca;700;ns;9
Odstran na zaklade kluca;600;ns;8
Odstran na zaklade kluca;1000;ns;7
Vloz na zaklade kluca;900;ns;6
Vloz na zaklade kluca;700;ns;7
Spristupni na zaklade kluca;400;ns;8
Odstran na zaklade kluca;1000;ns;8
Odstran na zaklade kluca;900;ns;7
Spristupni na zaklade kluca;400;ns;6
Vloz na zaklade kluca;800;ns;6
Vloz na zaklade kluca;800;ns;7
Odstran na zaklade kluca;1000;ns;8
Vloz na zaklade kluca;700;ns;7
Vloz na zaklade kluca;600;ns;8
Vloz na zaklade kluca;600;ns;9
Odstran na zaklade kluca;700;ns;10
Vloz na zaklade kluca;600;ns;9
Odstran na zaklade kluca;700;ns;10
Odstran na zaklade kluca;600;ns;9
Vloz na zaklade kluca;600;ns;8
Vloz na zaklade kluca;600;ns;9
Odstran na zaklade kluca;600;ns;10
Vloz na zaklade kluca;700;ns;9
Vloz na zaklade kluca;4600;ns;10
Spristupni na zaklade kluca;4000;ns;11
Odstran na zaklade kluca;5300;ns;11
Vloz na zaklade kluca;4500;ns;10
Vloz na zaklade kluca;4500;ns;11
Vloz na zaklade kluca;700;ns;12
Vloz na zaklade kluca;800;ns;13
Spristupni na zaklade kluca;400;ns;14
Spristupni na zaklade kluca;500;ns;14
Odstran na zaklade kluca;1100;ns;14
Odstran na zaklade kluca;700;ns;13
Odstran na zaklade kluca;1100;ns;12
Vloz na zaklade kluca;7800;ns;11
Odstran na zaklade kluca;800;ns;12
Vloz na zaklade kluca;4300;ns;11
Vloz na zaklade kluca;700;ns;12
Spristupni na zaklade kluca;500;ns;13
Spristupni na zaklade kluca;500;ns;13
Odstran na zaklade kluca;600;ns;13
Odstran na zaklade kluca;1100;ns;12
Vloz na zaklade kluca;7800;ns;11
Odstran na zaklade kluca;800;ns;12
Odstran na zaklade kluca;5900;ns;11
Vloz na zaklade kluca;700;ns;10
